open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
128.3,128.53,125.98,126.16,124.4549963364,5478317.0,0.0000,1.0
128.48,128.74,127.545,128.05,126.319453716519,2778798.0,0.0000,1.0
130.28,130.42,128.19,128.25,126.51675079378,3530439.0,0.0000,1.0
129.64,130.86,129.59,130.19,128.430532443214,2982980.0,0.0000,1.0
129.35,129.905,128.77,129.64,127.887965480746,2860286.0,0.0000,1.0
128.39,129.22,127.71,128.93,127.187560856468,3340254.0,0.0000,1.0
128.9,129.4726,127.74,128.19,126.457561670602,3760678.0,0.0000,1.0
130.55,130.61,129.14,129.3,127.552560449402,5143133.0,0.0000,1.0
131.42,131.87,130.13,130.49,128.726478059106,2761326.0,0.0000,1.0
129.62,130.67,129.22,130.57,128.805396890011,3015907.0,0.0000,1.0
131.5,131.7,128.86,130.79,129.022423674998,3725648.0,0.0000,1.0
131.9,131.99,130.29,130.97,129.199991044533,3200185.0,0.0000,1.0
134.0,134.385,131.66,131.71,129.9299902304,4257210.0,0.0000,1.0
